full_name,mascot,city,thescore_abbrev,nflscrapr_abbrev
San Francisco 49ers,49ers,San Francisco,SF,SF
Chicago Bears,Bears,Chicago,CHI,CHI
Cincinnati Bengals,Bengals,Cincinnati,CIN,CIN
Buffalo Bills,Bills,Buffalo,BUF,BUF
Denver Broncos,Broncos,Denver,DEN,DEN
Cleveland Browns,Browns,Cleveland,CLE,CLE
Tampa Bay Buccaneers,Buccaneers,Tampa Bay,TB,TB
Arizona Cardinals,Cardinals,Arizona,ARI,ARI
Los Angeles Chargers,Chargers,Los Angeles C,LAC,LAC
Kansas City Chiefs,Chiefs,Kansas City,KC,KC
Indianapolis Colts,Colts,Indianapolis,IND,IND
Dallas Cowboys,Cowboys,Dallas,DAL,DAL
Miami Dolphins,Dolphins,Miami,MIA,MIA
Philadelphia Eagles,Eagles,Philadelphia,PHI,PHI
Atlanta Falcons,Falcons,Atlanta,ATL,ATL
New York Giants,Giants,New York,NYG,NYG
Jacksonville Jaguars,Jaguars,Jacksonville,JAG,JAX
New York Jets,Jets,New York,NYJ,NYJ
Detroit Lions,Lions,Detroit,DET,DET
Green Bay Packers,Packers,Green Bay,GB,GB
Carolina Panthers,Panthers,Carolina,CAR,CAR
New England Patriots,Patriots,New England,NE,NE
Oakland Raiders,Raiders,Oakland,OAK,OAK
Los Angeles Rams,Rams,Los Angeles R,LAR,LA
Baltimore Ravens,Ravens,Baltimore,BAL,BAL
Washington Redskins,Redskins,Washington,WAS,WAS
New Orleans Saints,Saints,New Orleans,NO,NO
Seattle Seahawks,Seahawks,Seattle,SEA,SEA
Pittsburgh Steelers,Steelers,Pittsburgh,PIT,PIT
Houston Texans,Texans,Houston,HOU,HOU
Tennessee Titans,Titans,Tennessee,TEN,TEN
Minnesota Vikings,Vikings,Minnesota,MIN,MIN
