"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Justin Tucker","J.Tucker","BAL","K","00-0029597"
2019,"reg","De'Anthony Thomas","D.Thomas","BAL","WR","00-0031060"
2019,"reg","Sam Koch","S.Koch","BAL","P","00-0024417"
2019,"reg","Chris Moore","C.Moore","BAL","WR","00-0032398"
2019,"reg","Justice Hill","J.Hill","BAL","RB","00-0034975"
2019,"reg","Willie Snead","W.Snead","BAL","WR","00-0030663"
2019,"reg","Anthony Averett","A.Averett","BAL","CB","00-0034265"
2019,"reg","Anthony Levine","A.Levine","BAL","DB","00-0027539"
2019,"reg","Brandon Carr","B.Carr","BAL","CB","00-0026280"
2019,"reg","Brynden Trawick","B.Trawick","BAL","DB","00-0030020"
2019,"reg","Chuck Clark","C.Clark","BAL","SS","00-0033294"
2019,"reg","DeShon Elliott","D.Elliott","BAL","DB","00-0034277"
2019,"reg","Earl Thomas","E.Thomas","BAL","FS","00-0027866"
2019,"reg","Iman Marshall","I.Marshall","BAL","CB","00-0034979"
2019,"reg","Jimmy Smith","J.Smith","BAL","CB","00-0027965"
2019,"reg","Jordan Richards","J.Richards","BAL","FS","00-0031559"
2019,"reg","Marcus Peters","M.Peters","BAL","CB","00-0032165"
2019,"reg","Marlon Humphrey","M.Humphrey","BAL","CB","00-0033281"
2019,"reg","Tony Jefferson","T.Jefferson","BAL","SS","00-0030294"
2019,"reg","Chris Board","C.Board","BAL","LB","00-0034787"
2019,"reg","Jaylon Ferguson","J.Ferguson","BAL","LB","00-0035651"
2019,"reg","Josh Bynes","J.Bynes","BAL","MLB","00-0028278"
2019,"reg","L.J. Fort","L.Fort","BAL","LB","00-0028932"
2019,"reg","Matt Judon","M.Judon","BAL","OLB","00-0032415"
2019,"reg","Otaro Alaka","O.Alaka","BAL","LB","00-0035103"
2019,"reg","Patrick Onwuasor","P.Onwuasor","BAL","ILB","00-0032573"
2019,"reg","Pernell McPhee","P.McPhee","BAL","LB","00-0028103"
2019,"reg","Tyus Bowser","T.Bowser","BAL","LB","00-0033283"
2019,"reg","Brandon Williams","B.Williams","BAL","DE","00-0030511"
2019,"reg","Chris Wormley","C.Wormley","BAL","NT","00-0033913"
2019,"reg","Daylon Mack","D.Mack","BAL","DT","00-0034985"
2019,"reg","Domata Peko Sr.","D.Sr.","BAL","NT","00-0024338"
2019,"reg","Jihad Ward","J.Ward","BAL","DE","00-0033046"
2019,"reg","Justin Ellis","J.Ellis","BAL","DT","00-0031346"
2019,"reg","Michael Pierce","M.Pierce","BAL","DT","00-0032574"
2019,"reg","Ufomba Kamalu","U.Kamalu","BAL","DE","00-0032729"
2019,"reg","Hayden Hurst","H.Hurst","BAL","TE","00-0034830"
2019,"reg","Mark Andrews","M.Andrews","BAL","TE","00-0034753"
2019,"reg","Nick Boyle","N.Boyle","BAL","TE","00-0031598"
2019,"reg","Jaleel Scott","J.Scott","BAL","WR","00-0034267"
2019,"reg","Marquise Brown","M.Brown","BAL","WR","00-0035662"
2019,"reg","Miles Boykin","M.Boykin","BAL","WR","00-0035703"
2019,"reg","Seth Roberts","S.Roberts","BAL","WR","00-0031166"
2019,"reg","Gus Edwards","G.Edwards","BAL","RB","00-0034184"
2019,"reg","Mark Ingram","M.Ingram","BAL","RB","00-0027966"
2019,"reg","Lamar Jackson","L.Jackson","BAL","QB","00-0034796"
2019,"reg","Robert Griffin III","R.III","BAL","QB","00-0029665"
